Date,agri,cons,manu,petro,totemp,SPI,PerREA,WTI
Jun-2007,26.7,112.0,54.3,21.4,579.7,918.8,1.5,64.9
Mar-2007,22.5,103.3,59.8,22.0,575.1,929.1,7,58
Dec-2006,25.8,108.5,53.0,19.4,596.8,969.2,8.6,60
Sep-2006,23.9,105.7,57.0,19.1,582.6,868.8,13.9,70.5
Jun-2006,28.8,101.7,55.4,20.8,582.9,920.3,11.4,70.5
Mar-2006,24.5,102.2,59.4,19.5,582.4,958.6,8.5,63.4
Dec-2005,27.2,105.2,60.6,19.0,589.9,1067.4,5.7,60
Sep-2005,25.8,100.5,52.6,20.2,569.4,1082.9,5.1,63
Jun-2005,21.1,103.2,56.3,20.2,569.6,1170.3,9,53
Mar-2005,26.0,98.3,56.9,17.6,567.0,1148.5,8,49.7
Dec-2004,29.1,98.8,62.9,17.1,580.7,1074.6,4.7,48.3
Sep-2004,24.1,97.9,65.2,16.8,572.5,962.7,6.4,43.9
Jun-2004,26.2,86.6,58.6,21.9,559.1,904.7,6.4,38.4
Mar-2004,24.6,81.1,54.4,18.5,536.9,839.4,12.9,35.2
Dec-2003,25.9,80.1,59.5,16.9,541.8,694.1,14.9,31.2
Sep-2003,25.8,85.4,53.8,14.8,544.0,600,15.5,30.2
Jun-2003,36.3,77.0,54.4,15.1,527.2,560.4,20.6,29
Mar-2003,37.8,77.3,55.5,17.5,523.3,564.2,12.2,34
Dec-2002,36.9,71.9,63.1,16.8,529.5,545.6,12.3,28.2
Sep-2002,33.5,81.6,57.8,19.5,529.2,488.6,7.9,28.3
Jun-2002,36.2,77.8,47.6,14.8,519.1,480.9,-0.3,26.3
Mar-2002,37.9,70.9,57.7,17.8,522.4,455.3,2.9,21.6
Dec-2001,39.2,81.6,59.9,14.2,519.8,434.2,5.2,20.4
Sep-2001,41.5,81.0,55.3,17.1,520.8,444.1,1.7,26.7
Jun-2001,40.6,77.7,50.7,15.4,507.7,423.9,7.3,27.9
Mar-2001,39.0,74.8,49.4,15.2,508.0,422.4,6.5,28.8
Dec-2000,29.9,72.6,57.1,17.1,504.4,441.5,4.7,31.9
Sep-2000,35.7,74.0,59.8,14.7,502.4,447.3,8.9,31.6
Jun-2000,34.0,70.0,55.8,15.6,493.2,476.8,4.9,28.8
Mar-2000,43.7,62.5,49.7,16.0,503.2,486.7,7.8,28.8
Dec-1999,32.2,66.0,51.8,16.4,484.0,417.5,7.2,24.5
Sep-1999,37.1,70.8,56.4,15.5,490.5,401.7,6.8,21.7
Jun-1999,43.1,70.3,54.9,14.6,498.0,391.9,6.3,17.7
Mar-1999,46.1,61.2,51.3,13.7,484.9,401.6,2.8,13.1
Dec-1998,35.3,58.7,60.2,18.4,476.2,436.3,6.9,12.9
Sep-1998,36.0,72.7,52.9,17.8,487.5,455.9,3.5,14.2
Jun-1998,41.9,69.0,50.2,18.1,482.7,434.7,4.3,14.6
Mar-1998,42.6,60.0,46.1,16.1,470.7,401.6,3.7,15.9
Dec-1997,38.3,58.4,49.1,14.3,464.5,352.3,-1.5,19.9
Sep-1997,39.2,58.2,51.8,18.1,465.9,273.9,2.6,19.8
Jun-1997,51.7,58.8,46.2,16.4,465.9,218.8,1.5,19.9
Mar-1997,45.9,52.0,43.0,18.0,442.9,207.3,2.1,22.8
Dec-1996,41.5,55.1,47.3,14.8,452.8,167.4,3.7,24.6
Sep-1996,39.2,50.5,42.2,17.1,443.1,164.7,3.3,22.4
Jun-1996,45.8,52.2,43.5,17.2,446.7,162.5,0.5,21.7
Mar-1996,43.8,48.5,48.6,16.7,434.2,157,4.2,19.8
Dec-1995,44.3,51.9,49.3,14.7,437.9,150.2,4.2,18.2
Sep-1995,47.8,51.2,44.9,15.5,430.1,140.3,3.6,17.8
Jun-1995,43.0,51.2,42.5,18.2,433.8,127.8,4.9,19.4
Mar-1995,48.5,43.0,43.1,14.9,424.5,111.4,,18.4
Dec-1994,44.9,46.1,41.4,17.0,425.5,88.6,,17.6
Sep-1994,51.5,49.7,41.0,13.8,416.7,85.1,,18.5
Jun-1994,50.6,53.6,42.5,15.8,412.3,86.6,,17.8
Mar-1994,58.0,45.1,41.3,14.7,407.7,89.6,,14.8
Dec-1993,52.1,53.2,44.4,14.1,410.8,82.5,,16.4
Sep-1993,44.4,50.4,41.6,17.6,411.7,78.3,,17.8
Jun-1993,41.5,52.6,38.3,12.9,399.6,72.5,,19.8
Mar-1993,45.2,49.3,38.3,14.4,396.2,59.1,,19.8
Dec-1992,46.0,53.1,45.0,14.2,406.5,60.2,,20.5
Sep-1992,50.7,55.4,44.8,16.6,416.2,63.8,,21.7
Jun-1992,42.5,50.4,42.3,16.3,404.6,64.9,,21.2
Mar-1992,48.3,47.4,37.7,14.2,396.8,68.1,,18.9
Dec-1991,47.1,59.1,44.6,16.9,405.7,81.8,,21.7
Sep-1991,53.5,53.0,46.9,17.7,411.1,85.8,,21.7
Jun-1991,43.2,51.4,48.1,18.6,402.6,84.8,,20.7
Mar-1991,44.3,51.9,35.1,18.0,384.6,75.7,,21.9
